t,x,y,z
5.950334280E-1,-2.351761982E-2,-3.771981969E-2,-8.399149403E-3
5.974101460E-1,-2.351761982E-2,-2.809897438E-2,-9.620844387E-3
5.997868650E-1,-1.969982497E-2,-1.374406368E-2,-1.053711493E-2
6.021635840E-1,-1.343864016E-2,4.275931045E-3,-1.038440317E-2
6.045403030E-1,-5.955760833E-3,2.351761982E-2,-8.857285604E-3
6.069170210E-1,5.344913341E-3,4.871506989E-2,-5.955760833E-3
6.092937400E-1,1.298050396E-2,7.620319724E-2,-4.275931045E-3
6.116705110E-1,2.428117767E-2,1.038440317E-1,-2.748812549E-3
6.140472300E-1,3.298575059E-2,1.290414780E-1,-2.290677279E-3
6.164239480E-1,3.802524135E-2,1.495048702E-1,-6.872031838E-3
6.188006670E-1,4.443913698E-2,1.638597846E-1,-1.038440317E-2
6.211773860E-1,4.566083103E-2,1.722589284E-1,-1.404948719E-2
6.235541050E-1,4.688252881E-2,1.831014603E-1,-1.634016447E-2
6.259308230E-1,4.703523964E-2,1.866138428E-1,-1.756185852E-2
6.283075420E-1,4.443913698E-2,1.878355294E-1,-2.000524849E-2
6.306842610E-1,4.321744293E-2,1.937913001E-1,-2.122694254E-2
6.330610320E-1,4.199574888E-2,2.011214644E-1,-2.229592577E-2
6.354377500E-1,4.321744293E-2,2.058555335E-1,-2.473931387E-2
6.378144690E-1,4.337015375E-2,2.154763639E-1,-2.718270384E-2
6.401911880E-1,4.703523964E-2,2.189887464E-1,-2.825168520E-2
6.425679070E-1,4.581354558E-2,2.214321345E-1,-3.436015919E-2
6.449446250E-1,4.581354558E-2,2.238755226E-1,-3.924693540E-2
6.473213440E-1,4.459185153E-2,2.275405973E-1,-4.291202128E-2
6.496980630E-1,4.459185153E-2,2.347180545E-1,-4.413371533E-2
6.520747820E-1,3.848337755E-2,2.359397560E-1,-4.046862945E-2
6.544515530E-1,3.588727489E-2,2.359397560E-1,-3.939964995E-2
6.568282710E-1,2.962609194E-2,2.359397560E-1,-3.695625812E-2
6.592049900E-1,2.473931387E-2,2.406738251E-1,-3.833066672E-2
6.615817090E-1,1.847812906E-2,2.455606014E-1,-3.833066672E-2
6.639584280E-1,1.603474095E-2,2.490729690E-1,-3.710897267E-2
6.663351460E-1,1.099525020E-2,2.467822880E-1,-3.603998944E-2
6.687118650E-1,3.512371797E-3,2.418955117E-1,-3.374931216E-2
6.710885840E-1,-3.054236295E-4,2.406738251E-1,-3.130592033E-2
6.734653030E-1,-1.527118147E-3,2.406738251E-1,-2.641914412E-2
6.758420730E-1,-5.192201585E-3,2.382304370E-1,-2.168507688E-2
6.782187920E-1,-7.788302377E-3,2.359397560E-1,-2.046338283E-2
6.805955110E-1,-1.023169141E-2,2.359397560E-1,-1.924168877E-2
6.829722300E-1,-1.145338640E-2,2.310529798E-1,-1.817270555E-2
6.853489480E-1,-9.009997360E-3,2.275405973E-1,-1.695101149E-2
6.877256670E-1,-9.009997360E-3,2.250972092E-1,-1.939439960E-2
6.901023860E-1,-6.566607859E-3,2.191414535E-1,-1.939439960E-2
6.924791050E-1,-4.123218823E-3,2.154763639E-1,-1.817270555E-2
6.948558750E-1,-3.054236295E-4,2.130329758E-1,-1.817270555E-2
6.972325940E-1,2.137965523E-3,2.046338320E-1,-1.572931744E-2
6.996093130E-1,5.803049076E-3,1.998997629E-1,-1.572931744E-2
7.019860320E-1,4.581354558E-3,1.915006191E-1,-1.695101149E-2
7.043627500E-1,3.359660041E-3,1.843231618E-1,-1.588202827E-2
7.067394690E-1,3.206948051E-3,1.771457046E-1,-1.466033421E-2
7.091161880E-1,3.206948051E-3,1.747023165E-1,-1.466033421E-2
7.114929070E-1,1.985253533E-3,1.710372269E-1,-1.099525020E-2
7.138696250E-1,1.985253533E-3,1.675248593E-1,-1.236965694E-2
7.162463440E-1,1.985253533E-3,1.614163816E-1,-1.236965694E-2
7.186231150E-1,4.428642802E-3,1.566823274E-1,-1.114796288E-2
7.209998340E-1,1.985253533E-3,1.482831687E-1,-1.007897966E-2
7.233765530E-1,3.206948051E-3,1.374406368E-1,-7.635590620E-3
7.257532710E-1,6.872031838E-3,1.327065676E-1,-6.413896102E-3
7.281299900E-1,8.093725890E-3,1.230857223E-1,-6.413896102E-3
7.305067090E-1,1.053711493E-2,1.171299592E-1,-5.192201585E-3
7.328834280E-1,1.298050396E-2,1.122431830E-1,-6.413896102E-3
7.352601460E-1,1.557660475E-2,1.110214889E-1,-3.970507067E-3
7.376369170E-1,1.924168877E-2,1.075091213E-1,-3.970507067E-3
7.400136360E-1,2.305948362E-2,1.062874198E-1,-2.748812549E-3
7.423903550E-1,2.672456764E-2,1.026223376E-1,-2.596100792E-3
7.447670730E-1,3.054236248E-2,1.050657257E-1,1.068982761E-3
7.471437920E-1,3.038965166E-2,1.026223376E-1,1.068982761E-3
7.495205110E-1,3.298575059E-2,9.788827598E-2,-1.527118147E-4
7.518972300E-1,3.298575059E-2,9.666658193E-2,1.068982761E-3
7.542739480E-1,3.420744836E-2,9.300149232E-2,5.955760833E-3
7.566506670E-1,3.420744836E-2,9.300149232E-2,5.955760833E-3
7.590273860E-1,3.420744836E-2,8.948912472E-2,5.955760833E-3
7.614041570E-1,3.283303976E-2,8.215895295E-2,4.581354558E-3
7.637808750E-1,3.665083647E-2,7.146912813E-2,7.024743594E-3
7.661575940E-1,3.787253052E-2,6.429167092E-2,4.581354558E-3
7.685343130E-1,3.649812192E-2,5.467082933E-2,1.985253533E-3
7.709110320E-1,3.909422457E-2,4.627167806E-2,1.985253533E-3
7.732877500E-1,4.031591862E-2,4.260659590E-2,3.206948051E-3
7.756644690E-1,4.275930673E-2,4.016320780E-2,-4.581354442E-4
7.780411880E-1,4.520269856E-2,4.138490185E-2,7.635590737E-4
7.804179590E-1,4.779879749E-2,4.627167806E-2,4.581354558E-3
7.827946780E-1,5.146388337E-2,4.978405312E-2,5.955760833E-3
7.851713960E-1,5.268557742E-2,5.344913527E-2,7.177455351E-3
7.875481150E-1,5.894676223E-2,5.344913527E-2,6.108472589E-3
7.899248340E-1,6.016845629E-2,5.100574717E-2,6.108472589E-3
7.923015530E-1,6.276455522E-2,4.734066129E-2,8.551862091E-3
7.946782710E-1,6.139015034E-2,4.138490185E-2,1.099525020E-2
7.970549900E-1,6.261184067E-2,3.771981969E-2,1.588202827E-2
7.994317090E-1,6.139015034E-2,3.176405653E-2,1.939439960E-2
8.018084800E-1,6.261184067E-2,2.932066843E-2,2.061609551E-2
8.041851980E-1,6.139015034E-2,2.702999115E-2,2.305948362E-2
8.065619170E-1,6.016845629E-2,2.458660305E-2,2.305948362E-2
8.089386360E-1,6.139015034E-2,2.336490713E-2,2.183778957E-2
8.113153550E-1,6.261184067E-2,2.092151903E-2,2.672456764E-2
8.136920730E-1,6.505523622E-2,1.847812906E-2,2.794626169E-2
8.160687920E-1,6.749862432E-2,1.252236869E-2,2.672456764E-2
8.184455110E-1,7.009471953E-2,9.009997360E-3,2.794626169E-2
8.208222820E-1,7.009471953E-2,1.679830020E-3,2.916795574E-2
8.231990000E-1,6.994201243E-2,-4.275931045E-3,2.901524492E-2
8.255757190E-1,6.749862432E-2,-1.023169141E-2,2.657185495E-2
8.279524380E-1,6.490252167E-2,-1.740914769E-2,3.130592033E-2
8.303291570E-1,6.490252167E-2,-2.458660305E-2,3.008422814E-2
8.327058750E-1,6.490252167E-2,-3.069507517E-2,3.237490356E-2
8.350825940E-1,6.368082762E-2,-3.665083647E-2,3.359659761E-2
8.374593130E-1,6.108472496E-2,-4.382828996E-2,2.977880463E-2
8.398360320E-1,5.986303091E-2,-5.222744122E-2,2.962609194E-2
8.422128030E-1,6.108472496E-2,-5.818320066E-2,3.084778599E-2
8.445895210E-1,5.864133686E-2,-6.658235192E-2,2.825168520E-2
8.469662400E-1,5.726693198E-2,-7.146912813E-2,2.825168520E-2
8.493429590E-1,5.864133686E-2,-7.742489129E-2,2.702999115E-2
8.517196780E-1,5.986303091E-2,-8.338065445E-2,2.580829710E-2
8.540963960E-1,5.726693198E-2,-8.826743066E-2,2.687728032E-2
8.564731150E-1,5.726693198E-2,-9.055810422E-2,2.565558441E-2
8.588498340E-1,5.726693198E-2,-9.177979827E-2,2.687728032E-2
8.612265530E-1,5.971032009E-2,-9.300149232E-2,2.321219631E-2
8.636033230E-1,5.726693198E-2,-9.177979827E-2,2.687728032E-2
8.659800420E-1,5.604523420E-2,-8.338065445E-2,2.687728032E-2
8.683567610E-1,5.482354015E-2,-7.498150319E-2,2.947338112E-2
8.707334800E-1,5.604523420E-2,-6.551336497E-2,2.947338112E-2
8.731101980E-1,5.864133686E-2,-5.940489471E-2,3.084778599E-2
8.754869170E-1,6.108472496E-2,-4.978405312E-2,2.733541466E-2
8.778636360E-1,6.368082762E-2,-4.504998401E-2,2.489202656E-2
8.802403550E-1,6.994201243E-2,-4.260659590E-2,2.260134928E-2
8.826171250E-1,7.620319724E-2,-4.504998401E-2,2.031067200E-2
8.849938440E-1,7.986827940E-2,-4.627167806E-2,2.153236605E-2
8.873705630E-1,8.368607610E-2,-4.627167806E-2,1.786728203E-2
8.897472820E-1,8.490777016E-2,-4.627167806E-2,1.908897609E-2
8.921240000E-1,8.368607610E-2,-4.504998401E-2,2.031067200E-2
8.945007190E-1,8.231166750E-2,-4.627167806E-2,1.908897609E-2
8.968774380E-1,8.231166750E-2,-4.978405312E-2,1.908897609E-2
8.992541570E-1,7.864658535E-2,-5.100574717E-2,1.649287529E-2
9.016308750E-1,7.742489129E-2,-5.589252338E-2,1.527118124E-2
9.040075940E-1,7.742489129E-2,-6.062658876E-2,1.282779220E-2
9.063843650E-1,7.360709459E-2,-6.306997687E-2,1.267508045E-2
