t,x,y,z
5.520140980E0,9.649057388E0,-2.129612118E-1,1.775474429E0
5.522517698E0,9.649057388E0,-2.129612118E-1,1.765903115E0
5.524894417E0,9.649057388E0,-2.177468538E-1,1.770688772E0
5.527271136E0,9.649057388E0,-2.129612118E-1,1.785045743E0
5.529647855E0,9.658628464E0,-2.081755698E-1,1.775474429E0
5.532024625E0,9.644271851E0,-2.033899277E-1,1.780260086E0
5.534401344E0,9.644271851E0,-1.986042857E-1,1.775474429E0
5.536778063E0,9.591629982E0,-1.890329868E-1,1.789233088E0
5.539154782E0,9.586843491E0,-1.794617027E-1,1.784447432E0
5.541531500E0,9.562317848E0,-1.938186288E-1,1.808375716E0
5.543908271E0,9.528818130E0,-1.848455518E-1,1.831705689E0
5.546284990E0,9.528818130E0,-1.752742529E-1,1.837089539E0
5.548661709E0,9.524032593E0,-1.800599098E-1,1.836491346E0
5.551038428E0,9.537791252E0,-1.704886109E-1,1.870589137E0
5.553415146E0,9.513862610E0,-1.561316848E-1,1.884945989E0
5.555791865E0,9.498908043E0,-1.471585929E-1,1.917847395E0
5.558168636E0,9.469595909E0,-1.375873089E-1,1.936989903E0
5.560545355E0,9.464810371E0,-1.286142170E-1,1.980060697E0
5.562922073E0,9.473783493E0,-1.333998591E-1,1.994417667E0
5.565298792E0,9.468997002E0,-1.286142170E-1,2.023131609E0
5.567675511E0,9.454640388E0,-1.333998591E-1,2.032702923E0
5.570052282E0,9.444471359E0,-1.190429255E-1,2.061416626E0
5.572429000E0,9.473184586E0,-1.286142170E-1,2.080559254E0
5.574805719E0,9.482157707E0,-1.238285750E-1,2.119442701E0
5.577182438E0,9.491728783E0,-1.238285750E-1,2.133799553E0
5.579559157E0,9.520442963E0,-1.190429255E-1,2.138585329E0
5.581935928E0,9.530014038E0,-1.190429255E-1,2.148156643E0
5.584312646E0,9.568299294E0,-1.142572835E-1,2.158325911E0
5.586689365E0,9.553344727E0,-1.286142170E-1,2.172683001E0
5.589066084E0,9.577870369E0,-1.286142170E-1,2.163111687E0
5.591442803E0,9.577870369E0,-1.333998591E-1,2.167897224E0
5.593819573E0,9.601799011E0,-1.573280841E-1,2.163111687E0
5.596196292E0,9.582656860E0,-1.668993831E-1,2.167897224E0
5.598573011E0,9.582656860E0,-1.812563092E-1,2.152942181E0
5.600949730E0,9.606584549E0,-1.812563092E-1,2.163111687E0
5.603326448E0,9.601799011E0,-2.003988922E-1,2.148156643E0
5.605703167E0,9.640084267E0,-2.093719840E-1,2.148754835E0
5.608079938E0,9.616155624E0,-1.956132501E-1,2.153540373E0
5.610456657E0,9.640682220E0,-2.141576260E-1,2.139183521E0
