"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.789280125E0,9.658515015E0,8.292755127E-2,1.635199585E0
2.799317125E0,9.738448792E0,7.110214233E-2,1.492695923E0
2.809354125E0,9.741592255E0,8.846603394E-2,1.403930511E0
2.819391125E0,9.724827118E0,1.104702759E-1,1.440304871E0
2.829428125E0,9.696386261E0,1.459465027E-1,1.559307404E0
2.839465625E0,9.706864471E0,1.800755310E-1,1.663790131E0
2.849502625E0,9.759105835E0,2.314187622E-1,1.720522156E0
2.859539625E0,9.790091400E0,3.050656128E-1,1.697021027E0
2.869576625E0,9.801018677E0,3.749702454E-1,1.704056396E0
2.879614625E0,9.782906342E0,3.579057312E-1,1.760788422E0
2.889651625E0,9.753267975E0,2.894979858E-1,1.841620331E0
2.899688625E0,9.681417389E0,2.146536255E-1,1.888772278E0
2.909725625E0,9.605525208E0,1.675016785E-1,1.875300293E0
2.919762625E0,9.553433533E0,1.681004333E-1,1.833537140E0
2.929799625E0,9.523346100E0,1.758842468E-1,1.721869354E0
2.939836625E0,9.486672363E0,1.851649475E-1,1.576671295E0
2.949873625E0,9.445208588E0,1.969903564E-1,1.448687439E0
2.959910625E0,9.425898743E0,2.056723022E-1,1.374591522E0
2.969947625E0,9.432185669E0,1.995350647E-1,1.347797241E0
2.979984625E0,9.440418549E0,2.011816406E-1,1.350491638E0
2.990021625E0,9.460925903E0,1.916015625E-1,1.412013702E0
3.000058625E0,9.509275360E0,2.086660767E-1,1.495689697E0
3.010095625E0,9.555229797E0,2.378553772E-1,1.622026978E0
3.020132625E0,9.617949371E0,2.478845215E-1,1.742825775E0
3.030169625E0,9.677824860E0,2.305206299E-1,1.805994415E0
3.040206625E0,9.718240814E0,2.179467773E-1,1.809736633E0
3.050243625E0,9.754315796E0,2.204914856E-1,1.809736633E0
3.060280625E0,9.795779572E0,2.124082947E-1,1.786085815E0
3.070317625E0,9.811796265E0,1.953437805E-1,1.797013092E0
3.080354625E0,9.793085175E0,1.818717957E-1,1.801054688E0
3.090391625E0,9.740694122E0,1.914518738E-1,1.747017059E0
3.100428625E0,9.660610657E0,2.098635864E-1,1.715582428E0
3.110465625E0,9.609417114E0,2.088157654E-1,1.723366241E0
3.120502625E0,9.578431549E0,1.902543640E-1,1.716779938E0
3.130539625E0,9.561666412E0,1.767823792E-1,1.693129120E0
3.140576625E0,9.564959564E0,1.601669312E-1,1.670526123E0
3.150613625E0,9.567354584E0,1.754351807E-1,1.659299469E0
3.160650625E0,9.577982483E0,1.944456482E-1,1.708547058E0
3.170687625E0,9.588909760E0,1.916015625E-1,1.756148071E0
3.180724625E0,9.605375519E0,1.606159973E-1,1.779948578E0
3.190761625E0,9.629325714E0,1.552272034E-1,1.784289551E0
3.200798625E0,9.647737427E0,1.953437805E-1,1.790277100E0
3.210835625E0,9.644593964E0,2.348616028E-1,1.788181458E0
3.220872625E0,9.628577271E0,2.760260010E-1,1.768721924E0
3.230909625E0,9.593101044E0,2.965333557E-1,1.748064880E0
3.240946625E0,9.596992950E0,2.996768188E-1,1.790576477E0
3.250983625E0,9.629475403E0,3.037184143E-1,1.849853210E0
3.261021625E0,9.658065948E0,3.149450684E-1,1.872306519E0
3.271057625E0,9.652976532E0,3.200344849E-1,1.882185974E0
3.281095625E0,9.635462952E0,2.957849121E-1,1.857187958E0
3.291132625E0,9.620194702E0,2.453398132E-1,1.769021301E0
3.301169625E0,9.574090576E0,2.242337036E-1,1.665736084E0
3.311206625E0,9.528585205E0,2.186952209E-1,1.593137054E0
3.321243625E0,9.488917694E0,2.010319519E-1,1.528172150E0
