"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.049049125E0,-4.945438355E-2,1.252740435E-2,1.081421040E-2
2.059086125E0,-4.338332266E-2,-7.042334881E-3,1.416420797E-3
2.069123125E0,-3.522313014E-2,-3.306275234E-2,-8.962450549E-3
2.079160125E0,-3.358280659E-2,-5.189145729E-2,-1.930923201E-2
2.089197125E0,-3.141046688E-2,-5.300439149E-2,-2.679244801E-2
2.099234125E0,-2.537267655E-2,-4.465933889E-2,-3.101807274E-2
2.109271125E0,-1.704630256E-2,-2.150768042E-2,-3.182714060E-2
2.119308125E0,-1.694830135E-2,1.015888643E-3,-3.379034251E-2
2.129345125E0,-1.684150845E-2,2.857321501E-2,-2.916017175E-2
2.139382125E0,-2.482627891E-2,6.104635820E-2,-3.136885911E-2
2.149419125E0,-3.632074967E-2,8.046372980E-2,-3.108709492E-2
2.159456125E0,-3.962715343E-2,8.393580467E-2,-2.691935189E-2
2.169493125E0,-3.592189401E-2,5.993246660E-2,-2.478802390E-2
2.179530125E0,-2.854470909E-2,1.756016910E-2,-2.765212581E-2
2.189567125E0,-2.166656218E-2,-3.477707133E-2,-3.270574287E-2
2.199604125E0,-1.665110141E-2,-9.044847637E-2,-3.193023801E-2
2.209641125E0,-1.735284366E-2,-1.287540495E-1,-3.486424312E-2
2.219678125E0,-2.845852822E-2,-1.538493633E-1,-2.614625916E-2
2.229715125E0,-3.808905184E-2,-1.613738537E-1,-2.077546157E-2
2.239752125E0,-4.500921071E-2,-1.631112695E-1,-1.996551082E-2
2.249789125E0,-5.021622404E-2,-1.743759066E-1,-2.256768569E-2
2.259826125E0,-5.240054801E-2,-1.820668429E-1,-2.017243765E-2
2.269863125E0,-5.338405073E-2,-1.917517036E-1,-2.205475979E-2
2.279900125E0,-6.241504848E-2,-1.949992776E-1,-1.664490625E-2
2.289937125E0,-5.627912655E-2,-1.575837284E-1,-1.594342850E-2
2.299974125E0,-6.020632386E-2,-1.057940274E-1,-1.226724032E-2
2.310011125E0,-6.315337867E-2,-4.509978741E-2,-1.219826378E-2
2.320048125E0,-6.791135669E-2,7.598198019E-3,-6.935939658E-3
2.330085125E0,-7.417058200E-2,3.309103847E-2,-1.021375880E-2
2.340122125E0,-7.707126439E-2,2.848262899E-2,-9.836325422E-3
